ball,metric,speed,club,value
Wilson Staff Model X,Total,slow,mid-iron,134.13
Maxfli Tour,Total,slow,mid-iron,134.23
TaylorMade SpeedSoft,Total,slow,mid-iron,133.16
Titleist Pro V1,Total,slow,mid-iron,131.11
Vice Pro Plus,Total,slow,mid-iron,135.03
Titleist Tour Soft,Total,slow,mid-iron,128.31
Callaway Supersoft,Total,slow,mid-iron,133.1
Pinnacle Rush,Total,slow,mid-iron,128.87
Callaway Chrome Tour X,Total,slow,mid-iron,125.5
Titleist Pro V1x,Total,slow,mid-iron,122.17
TaylorMade Tour Response,Total,slow,mid-iron,129.64
Titleist TruFeel,Total,slow,mid-iron,132.93
Kirkland Performance+ v3.5,Total,slow,mid-iron,129.72
Srixon Q-STAR ULTISPEED,Total,slow,mid-iron,132.37
TaylorMade TP5,Total,slow,mid-iron,128.59
Srixon SOFT FEEL,Total,slow,mid-iron,131.73
Mizuno Pro X,Total,slow,mid-iron,127.63
Titleist AVX,Total,slow,mid-iron,131.94
Callaway Chrome Tour,Total,slow,mid-iron,130.46
Vice Pro Air,Total,slow,mid-iron,130.23
Wilson Triad,Total,slow,mid-iron,129.94
Callaway Chrome Soft,Total,slow,mid-iron,128.66
Titleist Velocity,Total,slow,mid-iron,130.05
Bridgestone TOUR B XS,Total,slow,mid-iron,127.89
Vice Pro,Total,slow,mid-iron,130.32
Srixon Q-STAR TOUR,Total,slow,mid-iron,125.99
Bridgestone TOUR B RXS,Total,slow,mid-iron,127.43
Maxfli Tour S,Total,slow,mid-iron,124.9
PXG Xtreme Tour,Total,slow,mid-iron,130.36
Member's Mark Pro Series 2,Carry,slow,mid-iron,116.66
Srixon Z-STAR DIVIDE,Carry,slow,mid-iron,117.45
Srixon Z-STAR,Carry,slow,mid-iron,117.43
Bridgestone TOUR B X,Carry,slow,mid-iron,118.38
Bridgestone TOUR B RX,Carry,slow,mid-iron,117.83
Maxfli Tour X,Carry,slow,mid-iron,118.39
TaylorMade TP5x,Carry,slow,mid-iron,118.02
Mizuno Pro S,Carry,slow,mid-iron,117.54
Wilson Staff Model,Carry,slow,mid-iron,117.2
Srixon Z-STAR XV,Carry,slow,mid-iron,115.29
Srixon Z-STAR DIAMOND,Carry,slow,mid-iron,116.76
Titleist Pro V1x Left Dash,Carry,slow,mid-iron,118.56
Callaway Chrome Tour Triple Diamond,Carry,slow,mid-iron,118.47
Callaway ERC Soft,Carry,slow,mid-iron,119.11
PXG Xtreme Tour X,Carry,slow,mid-iron,118.95
Wilson Staff Model X,Carry,slow,mid-iron,117.98
Maxfli Tour,Carry,slow,mid-iron,117.66
TaylorMade SpeedSoft,Carry,slow,mid-iron,118.36
Titleist Pro V1,Carry,slow,mid-iron,117.49
Vice Pro Plus,Carry,slow,mid-iron,118.11
Titleist Tour Soft,Carry,slow,mid-iron,117.22
Callaway Supersoft,Carry,slow,mid-iron,119.25
Pinnacle Rush,Carry,slow,mid-iron,116.11
Callaway Chrome Tour X,Carry,slow,mid-iron,115.01
Titleist Pro V1x,Carry,slow,mid-iron,112.61
TaylorMade Tour Response,Carry,slow,mid-iron,116.03
Titleist TruFeel,Carry,slow,mid-iron,119.35
Kirkland Performance+ v3.5,Carry,slow,mid-iron,116.33
Srixon Q-STAR ULTISPEED,Carry,slow,mid-iron,118.55
TaylorMade TP5,Carry,slow,mid-iron,115.63
Srixon SOFT FEEL,Carry,slow,mid-iron,118.6
Mizuno Pro X,Carry,slow,mid-iron,115.68
Titleist AVX,Carry,slow,mid-iron,118.37
Callaway Chrome Tour,Carry,slow,mid-iron,116.78
Vice Pro Air,Carry,slow,mid-iron,116.84
Wilson Triad,Carry,slow,mid-iron,116.44
Callaway Chrome Soft,Carry,slow,mid-iron,116.11
Titleist Velocity,Carry,slow,mid-iron,117.69
Bridgestone TOUR B XS,Carry,slow,mid-iron,115.6
Vice Pro,Carry,slow,mid-iron,116.58
Srixon Q-STAR TOUR,Carry,slow,mid-iron,113.64
Bridgestone TOUR B RXS,Carry,slow,mid-iron,115.1
Maxfli Tour S,Carry,slow,mid-iron,114.23
PXG Xtreme Tour,Carry,slow,mid-iron,117.04
Member's Mark Pro Series 2,Descent Angle,slow,mid-iron,38.01
Srixon Z-STAR DIVIDE,Descent Angle,slow,mid-iron,38.5
Srixon Z-STAR,Descent Angle,slow,mid-iron,38.62
Bridgestone TOUR B X,Descent Angle,slow,mid-iron,38.68
Bridgestone TOUR B RX,Descent Angle,slow,mid-iron,39.27
Maxfli Tour X,Descent Angle,slow,mid-iron,39.31
TaylorMade TP5x,Descent Angle,slow,mid-iron,39.37
Mizuno Pro S,Descent Angle,slow,mid-iron,39.51
Wilson Staff Model,Descent Angle,slow,mid-iron,39.6
Srixon Z-STAR XV,Descent Angle,slow,mid-iron,39.64
Srixon Z-STAR DIAMOND,Descent Angle,slow,mid-iron,39.64
Titleist Pro V1x Left Dash,Descent Angle,slow,mid-iron,39.64
Callaway Chrome Tour Triple Diamond,Descent Angle,slow,mid-iron,39.69
Callaway ERC Soft,Descent Angle,slow,mid-iron,39.7
PXG Xtreme Tour X,Descent Angle,slow,mid-iron,39.76
Wilson Staff Model X,Descent Angle,slow,mid-iron,39.78
Maxfli Tour,Descent Angle,slow,mid-iron,39.87
TaylorMade SpeedSoft,Descent Angle,slow,mid-iron,40.03
Titleist Pro V1,Descent Angle,slow,mid-iron,40.09
Vice Pro Plus,Descent Angle,slow,mid-iron,40.28
Titleist Tour Soft,Descent Angle,slow,mid-iron,40.41
Callaway Supersoft,Descent Angle,slow,mid-iron,40.54
Pinnacle Rush,Descent Angle,slow,mid-iron,40.55
Callaway Chrome Tour X,Descent Angle,slow,mid-iron,40.62
Titleist Pro V1x,Descent Angle,slow,mid-iron,40.66
TaylorMade Tour Response,Descent Angle,slow,mid-iron,40.73
Titleist TruFeel,Descent Angle,slow,mid-iron,40.74
Kirkland Performance+ v3.5,Descent Angle,slow,mid-iron,40.79
Srixon Q-STAR ULTISPEED,Descent Angle,slow,mid-iron,40.79
TaylorMade TP5,Descent Angle,slow,mid-iron,40.82
Srixon SOFT FEEL,Descent Angle,slow,mid-iron,40.92
Mizuno Pro X,Descent Angle,slow,mid-iron,41.17
Titleist AVX,Descent Angle,slow,mid-iron,41.2
Callaway Chrome Tour,Descent Angle,slow,mid-iron,41.23
Vice Pro Air,Descent Angle,slow,mid-iron,41.25
Wilson Triad,Descent Angle,slow,mid-iron,41.29
Callaway Chrome Soft,Descent Angle,slow,mid-iron,41.42
Titleist Velocity,Descent Angle,slow,mid-iron,41.42
Bridgestone TOUR B XS,Descent Angle,slow,mid-iron,41.68
Vice Pro,Descent Angle,slow,mid-iron,41.68
Srixon Q-STAR TOUR,Descent Angle,slow,mid-iron,41.74
Bridgestone TOUR B RXS,Descent Angle,slow,mid-iron,42.12
Maxfli Tour S,Descent Angle,slow,mid-iron,42.75
PXG Xtreme Tour,Descent Angle,slow,mid-iron,42.84
Member's Mark Pro Series 2,Max Height,slow,mid-iron,57.34
Srixon Z-STAR DIVIDE,Max Height,slow,mid-iron,55.97
Srixon Z-STAR,Max Height,slow,mid-iron,56.11
Bridgestone TOUR B X,Max Height,slow,mid-iron,56.97
Bridgestone TOUR B RX,Max Height,slow,mid-iron,58.82
Maxfli Tour X,Max Height,slow,mid-iron,58.89
TaylorMade TP5x,Max Height,slow,mid-iron,58.92
Mizuno Pro S,Max Height,slow,mid-iron,59.01
